DPTO_CCDGO,MPIO_CCDGO,MPIO_CNMBR,MPIO_CDPMP,LLAVE_MUNICIPIO,VERSION,AREA,LATITUD,LONGITUD,TSP16_HOG,STP27_PERS
5,856,VALPARAÍSO,5856,COLOMBIA - 5856,2018,126174757.9,5.651937802,-75.63083412,1942,5431
5,854,VALDIVIA,5854,COLOMBIA - 5854,2018,567702635.6,7.265404213,-75.40094502,3969,11511
5,842,URAMITA,5842,COLOMBIA - 5842,2018,265930372.6,6.913916924,-76.13318514,2087,6523
5,837,TURBO,5837,COLOMBIA - 5837,2018,2919535329,7.998062219,-76.72389089,32159,114434
5,819,TOLEDO,5819,COLOMBIA - 5819,2018,122578416.7,7.016397069,-75.71363382,1601,4930
5,809,TITIRIBÍ,5809,COLOMBIA - 5809,2018,140345788.2,6.058349971,-75.79966005,2861,8316
5,792,TARSO,5792,COLOMBIA - 5792,2018,120479062.1,5.871064557,-75.82871144,1835,5663
5,790,TARAZÁ,5790,COLOMBIA - 5790,2018,1148984993,7.488875998,-75.40189438,7207,22826
5,789,TÁMESIS,5789,COLOMBIA - 5789,2018,252239744,5.673758571,-75.70979974,5262,15012
5,761,SOPETRÁN,5761,COLOMBIA - 5761,2018,219071913.3,6.520164552,-75.74580903,4891,13748
5,756,SONSÓN,5756,COLOMBIA - 5756,2018,1346397144,5.76250368,-75.05935905,10077,31861
5,736,SEGOVIA,5736,COLOMBIA - 5736,2018,1127326880,7.266923391,-74.62163926,10804,33690
5,697,EL SANTUARIO,5697,COLOMBIA - 5697,2018,83451093.81,6.124209495,-75.25212278,8923,30311
5,690,SANTO DOMINGO,5690,COLOMBIA - 5690,2018,265950720,6.481044132,-75.14260097,3312,9786
5,686,SANTA ROSA DE OSOS,5686,COLOMBIA - 5686,2018,864778914.4,6.675827825,-75.43814333,9217,31067
5,679,SANTA BÁRBARA,5679,COLOMBIA - 5679,2018,196169746.3,5.878984956,-75.58330371,7548,22030
5,306,GIRALDO,5306,COLOMBIA - 5306,2018,93494441.29,6.663095863,-75.94804663,1685,5057
5,282,FREDONIA,5282,COLOMBIA - 5282,2018,258092599,5.887702934,-75.67926242,6674,18790
5,266,ENVIGADO,5266,COLOMBIA - 5266,2018,77996703.23,6.154394922,-75.54686779,74474,212437
5,264,ENTRERRÍOS,5264,COLOMBIA - 5264,2018,214195945.8,6.594656004,-75.55913083,2799,8820
5,250,EL BAGRE,5250,COLOMBIA - 5250,2018,1560248872,7.704633351,-74.66427726,13126,47642
5,240,EBÉJICO,5240,COLOMBIA - 5240,2018,237779378.4,6.326444922,-75.78331175,3828,10338
5,237,DONMATÍAS,5237,COLOMBIA - 5237,2018,203332310.6,6.505411524,-75.36683051,4719,14208
5,212,COPACABANA,5212,COLOMBIA - 5212,2018,67760717.31,6.351882893,-75.50075633,25114,76479
5,209,CONCORDIA,5209,COLOMBIA - 5209,2018,247880390.5,6.057468678,-75.90014678,5311,16095
5,206,CONCEPCIÓN,5206,COLOMBIA - 5206,2018,202054485.6,6.376106187,-75.21785901,1404,3936
5,197,COCORNÁ,5197,COLOMBIA - 5197,2018,241764703.4,6.005593074,-75.16015403,5108,14743
5,190,CISNEROS,5190,COLOMBIA - 5190,2018,46934731.79,6.550065431,-75.08254116,3207,8910
5,172,CHIGORODÓ,5172,COLOMBIA - 5172,2018,721682645.3,7.631665644,-76.63964213,16927,55564
5,154,CAUCASIA,5154,COLOMBIA - 5154,2018,1429121976,7.867941792,-75.03501824,25315,84717
5,150,CAROLINA,5150,COLOMBIA - 5150,2018,149580818,6.754821442,-75.30590654,1297,3343
5,148,EL CARMEN DE VIBORAL,5148,COLOMBIA - 5148,2018,423645191.6,5.978078841,-75.2635361,16907,53949
5,147,CAREPA,5147,COLOMBIA - 5147,2018,387270642.2,7.789166114,-76.65668189,14029,45936
5,145,CARAMANTA,5145,COLOMBIA - 5145,2018,92057783.14,5.555275296,-75.63082096,1526,4269
5,142,CARACOLÍ,5142,COLOMBIA - 5142,2018,262798775.4,6.33797388,-74.73354817,1500,3967
5,138,CAÑASGORDAS,5138,COLOMBIA - 5138,2018,364831230.1,6.814950023,-76.02689632,4418,13595
5,134,CAMPAMENTO,5134,COLOMBIA - 5134,2018,206343346.4,7.036017478,-75.28766178,2211,7432
5,129,CALDAS,5129,COLOMBIA - 5129,2018,132755935.7,6.054446841,-75.62642674,24476,76260
5,125,CAICEDO,5125,COLOMBIA - 5125,2018,200129883.2,6.423463639,-75.99351498,2296,7018
5,674,SAN VICENTE FERRER,5674,COLOMBIA - 5674,2018,230491173.9,6.310387522,-75.32740163,5832,18051
5,670,SAN ROQUE,5670,COLOMBIA - 5670,2018,424854897.7,6.448675158,-74.93185881,6178,17792
5,667,SAN RAFAEL,5667,COLOMBIA - 5667,2018,363928658.3,6.31074453,-74.99858652,4416,12578
